"Code","Description"
"A","Access Allowed"
"OA","Object Access Allowed"
"AU","System Audit"
"D","Access Denied"
"OD","Object Access Denied"
"OU","System Object Audit"
"AL","System Alarm"
"SP","Central Policy ID"
"OL","System Object Alarm"
"ML","System Mandatory Label"
